band_id;genre_id
1;528
1;45
1;329
1;380
2;527
2;393
3;324
3;263
5;45
5;329
6;459
6;401
7;489
7;412
7;259
9;278
9;128
9;208
10;225
11;356
12;286
13;45
13;329
13;235
13;502
13;411
14;66
14;263
15;205
15;170
15;492
16;300
16;81
16;23
17;226
19;356
21;359
22;356
23;3
24;259
25;166
26;255
27;465
27;388
28;209
28;250
28;210
28;206
29;96
29;222
30;210
31;356
32;343
32;212
33;45
33;329
34;58
34;310
34;128
34;356
35;142
35;520
36;489
36;360
36;210
37;352
37;380
37;145
38;388
38;236
38;250
38;381
38;307
39;209
39;210
40;123
40;45
40;329
40;206
41;489
41;388
41;344
43;94
44;372
44;128
44;312
45;98
45;236
45;246
46;45
46;329
46;246
47;398
48;388
48;268
48;80
49;209
49;259
49;278
50;498
50;456
51;45
51;329
51;352
51;152
53;528
53;45
53;329
54;123
54;307
55;81
56;228
56;152
56;380
57;188
57;210
58;300
58;23
58;248
59;45
59;329
60;471
61;521
61;15
61;284
62;503
63;66
63;330
63;202
63;406
63;174
64;45
64;329
65;182
65;87
65;524
65;288
66;389
66;174
67;47
67;497
67;489
67;388
67;209
67;259
67;459
67;152
67;206
67;344
68;441
68;206
69;47
71;492
71;30
72;81
72;421
72;389
72;289
73;58
73;160
73;278
73;226
74;81
74;210
75;236
75;354
75;61
76;58
76;128
77;489
77;492
77;480
78;112
78;128
79;446
79;167
79;490
80;495
82;128
83;528
83;471
84;45
84;329
84;412
85;206
86;237
86;274
87;397
87;402
87;521
87;284
88;74
88;250
88;299
89;47
89;104
90;320
91;388
91;268
91;356
91;307
92;335
92;278
92;128
93;45
93;329
93;121
94;58
94;163
94;128
95;509
95;278
95;210
96;81
96;263
97;235
97;502
97;210
98;58
98;128
99;503
101;45
101;329
101;210
102;210
102;356
102;461
103;459
103;152
104;59
104;167
104;485
104;146
107;45
107;329
107;380
108;250
108;206
109;380
110;81
111;356
112;163
113;465
113;263
113;356
113;206
115;300
115;389
115;289
115;6
116;529
116;70
117;58
117;163
118;81
118;145
119;45
119;329
120;263
120;94
122;528
122;259
122;284
123;170
124;160
124;226
125;45
125;329
125;210
126;23
126;467
127;45
127;329
129;209
130;113
130;143
130;303
130;307
131;45
131;329
131;388
131;210
132;429
132;114
132;392
133;14
136;521
136;259
136;284
136;128
137;236
137;446
137;478
137;263
138;14
138;418
138;15
138;307
139;343
139;205
139;521
139;170
139;212
140;471
140;284
140;210
141;81
142;81
143;163
144;324
145;81
147;300
147;452
148;45
148;329
148;236
150;465
150;498
151;521
152;209
152;69
152;259
152;284
152;206
152;344
153;489
